SKU,Product_description,Product Role,Current_Price,Floor_Price,Target_Price,Recommended_Price,Price_Change,Price_Change_%,Current_Margin_%,New_Margin_%,Margin_Improvement,Inventory_Status,Velocity_Category,Competitive_Position,Recommendation_Action
MN-08,10 Inch Heart Plates - pk of 25,Seasonal,29.9,34.81,47.47,35.9,6.0,20.07,12.68,27.27,14.59,Overstocked,Slow Mover,At Market,URGENT: Below Min Margin
MN-22,13 inch Round plate - Pk of 10,Core,20.9,23.85,29.35,24.9,4.0,19.14,8.71,23.37,14.67,Healthy,Average,At Market,URGENT: Below Min Margin
MN-10,9x6 Rectangle - pk of 25,Core,19.9,21.75,26.77,22.9,3.0,15.08,12.56,24.02,11.45,Healthy,Slow Mover,At Market,URGENT: Below Min Margin
MN-11,Oval Tray - 13x9 Inch - pk of 10,Core,16.9,19.07,23.48,19.9,3.0,17.75,9.7,23.32,13.61,Healthy,Average,Below Market,URGENT: Below Min Margin
MN-09,6 Inch Heart Plates - pk of 25,Seasonal,14.9,19.89,27.13,20.9,6.0,40.27,-0.13,28.61,28.75,Overstocked,Slow Mover,At Market,URGENT: Below Min Margin
MN-50,9x6 Rectangle - pk of 50,Core,29.9,34.5,42.46,34.9,5.0,16.72,7.69,20.92,13.22,Low Stock,Average,At Market,URGENT: Below Min Margin
MN-14,12 inch Round plate - Pk of 25,Core,26.9,31.16,38.35,31.9,5.0,18.59,7.32,21.85,14.53,Low Stock,Average,At Market,URGENT: Below Min Margin
MN-15,Rectangle Tray -14x10 Inch - Pk of  10,Core,21.9,24.05,29.6,24.9,3.0,13.7,12.15,22.73,10.58,Healthy,Fast Mover,At Market,URGENT: Below Min Margin
MN-16,Oval Tray -15x10 Inch - Pk of  10,Core,19.9,21.75,26.77,22.9,3.0,15.08,12.56,24.02,11.45,Healthy,Average,At Market,URGENT: Below Min Margin
MN-17,Square Combo 10 & 7 inch - Pk of 50,Core,29.9,34.98,43.05,35.9,6.0,20.07,6.42,22.06,15.64,Low Stock,Average,Below Market,URGENT: Below Min Margin
MN-18,Round Combo 10 & 7 inch - Pk of 50,Core,26.9,34.66,42.66,35.9,9.0,33.46,-3.09,22.76,25.84,Healthy,Average,Below Market,URGENT: Below Min Margin
MN-19,Oval Tray - 22x12 Inch - Pk of 10,Core,36.9,41.17,50.68,42.9,6.0,16.26,10.73,23.22,12.49,Low Stock,Fast Mover,Below Market,URGENT: Below Min Margin
MN-20,3.5 Inch round Bowl - Pk of 25,Core,11.9,13.77,16.95,14.9,3.0,25.21,7.39,26.04,18.65,Healthy,Fast Mover,At Market,URGENT: Below Min Margin
MN-12,13 inch Round DEEP plate - pk of 10,Core,19.9,22.34,27.49,22.9,3.0,15.08,10.2,21.97,11.76,Low Stock,Average,Below Market,URGENT: Below Min Margin
MN-46,2.5 Square Bowl - Pk of 100,Core,26.9,26.24,32.29,27.9,1.0,3.72,21.97,24.77,2.8,Healthy,Slow Mover,Below Market,Increase Price
MN-13,14 inch Round DEEP plate - Pk of 10,Core,22.9,22.25,27.38,24.9,2.0,8.73,22.27,28.51,6.24,Healthy,Average,Below Market,Increase Price
MN-43,3.5 Square Bowl -  Pk of 25,Core,13.9,13.51,16.63,14.9,1.0,7.19,22.23,27.45,5.22,Healthy,Slow Mover,Below Market,Increase Price
MN-24,Rectangle Tray -12x10 - pk of 10,Core,19.9,19.52,24.03,20.9,1.0,5.03,21.51,25.26,3.76,Healthy,Average,At Market,Increase Price
MN-42,4 inch square -  pk of 200,Core,73.9,63.49,78.14,75.9,2.0,2.71,31.27,33.08,1.81,Healthy,Average,At Market,Increase Price
MN-47,5 inch square -  pk of 200,Core,76.9,69.17,85.14,71.9,-5.0,-6.5,28.04,23.03,-5.0,Overstocked,Average,At Market,Decrease Price
MN-48,7 Square -  pk of 200,Core,89.9,86.22,106.12,86.9,-3.0,-3.34,23.27,20.62,-2.65,Healthy,Average,At Market,Decrease Price
MN-02,Rectangle Tray -12x10 - Pk of 25,Core,33.9,33.25,40.92,33.9,0.0,0.0,21.53,21.53,0.0,Healthy,Average,At Market,Maintain Price
