SKU,Product_description,Product Role,Country_of_Origin,FBA Fee,Storage Fee,Handling_Cost,Cost,Current_Price,Minimum_Acceptable_Margin_%,Target_Gross_Margin_%,Total_Cost,Current_Margin_%,Current_Margin_$,Margin_Health,Avg_Competitor_Price,Lowest_Competitor_Price,Highest_Competitor_Price,Competitor_Count,total-inventory,available,weeks-of-cover-t30,units-shipped-t30,units-shipped-t90,Inventory_Status,Inventory_Pressure,Returns_90d,Return_Rate_90d,Return_Category,Total_Units_90d,Avg_Daily_Units,Conversion_Rate,Trend_%,Velocity_Category,Trend_Category,Total_Spend,Total_Ad_Sales,Avg_ACOS,Avg_ROAS,Ad_Efficiency,Competitive_Position,Floor_Price,Target_Price,Competitive_Price,Adjustment_Factor,Recommended_Price,Price_Change,Price_Change_%,New_Margin_%,Margin_Improvement,Recommendation_Action,Est_Monthly_Units,Current_Revenue,New_Revenue
MN-11,Oval Tray - 13x9 Inch - pk of 10,Core,India,9.36,0.15,0.75,5.0,16.9,20.0,35.0,15.26,9.704142011834312,1.6399999999999988,CRITICAL,17.8,14.99,23.5,8,230.0,124,8,101,215,Healthy,0.0,10,4.651162790697675,Low Returns,232.0,2.5494505494505493,13.48053457292272,25.64102564102564,Average,Trending Up,1698.77,8529.35,19.91675801790289,5.020897472877435,Efficient,Below Market,19.07,23.48,17.444,0.0,19.9,3.0,17.751479289940832,23.31658291457286,13.612440902738546,URGENT: Below Min Margin,101,1706.8999999999999,2009.8999999999999
MN-12,13 inch Round DEEP plate - pk of 10,Core,India,10.9,0.22,0.75,6.0,19.9,20.0,35.0,17.869999999999997,10.201005025125633,2.030000000000001,CRITICAL,21.4,17.95,27.9,9,259.0,87,3,194,354,Low Stock,0.25,24,6.779661016949152,Normal Returns,348.0,3.8241758241758244,17.45235707121364,211.47540983606555,Average,Trending Up,1436.43,4465.83,32.164905515883945,3.1089785092207762,Break-even,Below Market,22.34,27.49,20.971999999999998,0.05,22.9,3.0,15.075376884422113,21.96506550218341,11.764060477057777,URGENT: Below Min Margin,194,3860.6,4442.599999999999
MN-13,14 inch Round DEEP plate - Pk of 10,Core,India,9.97,0.08,0.75,7.0,22.9,20.0,35.0,17.799999999999997,22.27074235807861,5.100000000000001,OPPORTUNITY,24.2,19.99,31.5,8,452.0,280,6,242,466,Healthy,0.0,16,3.4334763948497855,Low Returns,473.0,5.197802197802198,11.687669878922659,106.36363636363637,Average,Trending Up,2782.79,11538.4,24.117641960757126,4.146342339881917,Efficient,Below Market,22.25,27.38,23.715999999999998,0.0,24.9,2.0,8.733624454148472,28.514056224899605,6.243313866820994,Increase Price,242,5541.799999999999,6025.799999999999
MN-14,12 inch Round plate - Pk of 25,Core,India,12.82,0.36,0.75,11.0,26.9,20.0,35.0,24.93,7.323420074349439,1.9699999999999989,CRITICAL,27.8,23.95,35.9,7,529.0,471,2,663,1362,Low Stock,0.5,145,10.646108663729809,High Returns,1381.0,15.175824175824175,32.168646634055435,143.1972789115646,Average,Trending Up,5935.26,18551.12,31.994079063689956,3.125578323443286,Break-even,At Market,31.16,38.35,27.8,0.020000000000000004,31.9,5.0,18.58736059479554,21.84952978056426,14.526109706214822,URGENT: Below Min Margin,663,17834.7,21149.7
MN-15,Rectangle Tray -14x10 Inch - Pk of  10,Core,India,11.29,0.2,0.75,7.0,21.9,20.0,35.0,19.24,12.146118721461189,2.66,CRITICAL,22.4,18.99,29.9,9,1324.0,814,4,1008,2328,Healthy,0.25,111,4.768041237113402,Low Returns,2335.0,25.65934065934066,22.822793470823967,57.09779179810725,Fast Mover,Trending Up,11204.57,35319.03,31.72388935936236,3.1521986118164285,Break-even,At Market,24.05,29.6,21.951999999999998,0.03,24.9,3.0,13.698630136986303,22.73092369477912,10.58480497331793,URGENT: Below Min Margin,1008,22075.199999999997,25099.199999999997
MN-16,Oval Tray -15x10 Inch - Pk of  10,Core,India,10.46,0.19,0.75,6.0,19.9,20.0,35.0,17.400000000000002,12.562814070351742,2.4999999999999964,CRITICAL,20.1,16.95,26.5,8,387.0,256,8,176,465,Healthy,0.0,31,6.666666666666667,Normal Returns,477.0,5.241758241758242,17.53676470588235,17.763157894736842,Average,Trending Up,2293.56,7953.03,28.838819921463895,3.4675482655784022,Break-even,At Market,21.75,26.77,19.698,0.0,22.9,3.0,15.075376884422113,24.017467248908282,11.45465317855654,URGENT: Below Min Margin,176,3502.3999999999996,4030.3999999999996
MN-17,Square Combo 10 & 7 inch - Pk of 50,Core,India,12.89,0.34,0.75,14.0,29.9,20.0,35.0,27.98,6.421404682274241,1.9199999999999982,CRITICAL,31.5,26.99,39.9,9,400.0,256,2,461,794,Low Stock,0.5,15,1.8891687657430731,Low Returns,743.0,8.164835164835164,23.153630414459332,139.76608187134502,Average,Trending Up,3852.35,10507.68,36.66223181520564,2.727602632159591,Inefficient,Below Market,34.98,43.05,30.87,0.08,35.9,6.0,20.066889632107024,22.06128133704735,15.63987665477311,URGENT: Below Min Margin,461,13783.9,16549.899999999998
MN-18,Round Combo 10 & 7 inch - Pk of 50,Core,India,12.61,0.37,0.75,14.0,26.9,20.0,35.0,27.73,-3.0855018587360665,-0.8300000000000018,CRITICAL,28.8,24.5,36.9,8,458.0,261,6,273,761,Healthy,0.0,53,6.964520367936925,Normal Returns,810.0,8.901098901098901,32.11736716891356,8.791208791208792,Average,Stable,3904.32,18094.62,21.577242296328965,4.6345125399557405,Efficient,Below Market,34.66,42.66,28.224,0.0,35.9,9.0,33.457249070631974,22.757660167130915,25.84316202586698,URGENT: Below Min Margin,273,7343.7,9800.699999999999
MN-19,Oval Tray - 22x12 Inch - Pk of 10,Core,India,19.68,0.51,0.75,12.0,36.9,20.0,35.0,32.94,10.731707317073173,3.960000000000001,CRITICAL,38.9,32.95,49.9,7,460.0,342,2,565,1485,Low Stock,0.5,59,3.9730639730639727,Low Returns,1632.0,17.934065934065934,17.49758764876166,7.5134168157423975,Fast Mover,Stable,2589.7599999999998,16040.25,16.145384267701562,6.1937206536513045,Efficient,Below Market,41.17,50.68,38.9,0.08,42.9,6.0,16.260162601626014,23.216783216783217,12.485075899710044,URGENT: Below Min Margin,565,20848.5,24238.5
MN-20,3.5 Inch round Bowl - Pk of 25,Core,India,6.24,0.03,0.75,4.0,11.9,20.0,35.0,11.02,7.394957983193285,0.8800000000000008,CRITICAL,12.5,9.99,16.9,6,1039.0,712,7,526,1494,Healthy,0.0,81,5.421686746987952,Normal Returns,1653.0,18.164835164835164,16.488778054862845,12.645914396887159,Fast Mover,Trending Up,3297.92,20002.39,16.487629728247473,6.065153187463613,Efficient,At Market,13.77,16.95,12.5,0.03,14.9,3.0,25.210084033613445,26.04026845637584,18.645310473182555,URGENT: Below Min Margin,526,6259.400000000001,7837.400000000001
MN-21,11 x 7 Rectangle - Pk of 25,Core,India,10.46,0.19,0.75,8.0,21.9,20.0,35.0,19.400000000000002,11.415525114155235,2.4999999999999964,CRITICAL,23.1,18.99,29.9,8,18.0,2,0,235,553,Stockout Risk,0.5,51,9.22242314647378,Normal Returns,583.0,6.406593406593407,14.370224303672666,79.56204379562044,Average,Trending Up,2934.51,15743.93,18.63899293251431,5.365096728244238,Efficient,Below Market,24.25,29.85,22.638,0.1,25.9,4.0,18.264840182648403,25.096525096525085,13.68099998236985,URGENT: Below Min Margin,235,5146.5,6086.5
MN-22,13 inch Round plate - Pk of 10,Core,India,11.12,0.21,0.75,7.0,20.9,20.0,35.0,19.08,8.708133971291868,1.8200000000000003,CRITICAL,21.9,17.95,27.9,9,395.0,252,4,355,733,Healthy,0.25,45,6.139154160982264,Normal Returns,722.0,7.934065934065934,23.411154345006484,82.63157894736842,Average,Trending Up,1646.95,6086.37,27.05964310418197,3.6955402410516407,Break-even,At Market,23.85,29.35,21.462,0.0,24.9,4.0,19.138755980861244,23.373493975903617,14.665360004611749,URGENT: Below Min Margin,355,7419.499999999999,8839.5
MN-23,2.5 Inch round Bowl - 25 ml - Pk of 25,Core,India,5.64,0.01,0.75,4.0,9.95,20.0,35.0,10.4,-4.522613065326644,-0.45000000000000107,CRITICAL,10.5,8.49,14.9,6,547.0,285,6,326,691,Healthy,0.0,66,9.55137481910275,Normal Returns,661.0,7.263736263736264,21.729125575279422,76.40449438202246,Average,Trending Up,1238.32,6798.04,18.215838682914487,5.489728018605853,Efficient,Below Market,13.0,16.0,10.5,0.0,13.9,3.950000000000001,39.69849246231157,25.179856115107913,29.70246918043456,URGENT: Below Min Margin,326,3243.7,4531.400000000001
MN-24,Rectangle Tray -12x10 - pk of 10,Core,India,9.72,0.15,0.75,5.0,19.9,20.0,35.0,15.620000000000001,21.5075376884422,4.279999999999998,OPPORTUNITY,20.8,16.95,26.9,8,424.0,292,7,200,468,Healthy,0.0,43,9.18803418803419,Normal Returns,479.0,5.263736263736264,11.665854846566,32.432432432432435,Average,Trending Up,3432.33,13628.76,25.184462856488775,3.9707021178033584,Break-even,At Market,19.52,24.03,20.384,0.0,20.9,1.0,5.025125628140704,25.263157894736832,3.7556202062946333,Increase Price,200,3979.9999999999995,4180.0
MN-25,10 inch square -  pk of 50,Core,India,14.05,0.41,0.75,16.0,34.9,20.0,35.0,31.21,10.57306590257879,3.6899999999999977,CRITICAL,35.5,29.99,44.9,9,1645.0,341,3,1729,4300,Low Stock,0.25,167,3.883720930232558,Low Returns,4471.0,49.13186813186813,48.523985239852394,173.56948228882834,Fast Mover,Trending Up,28107.19,138640.93,20.273370930215197,4.932578817021552,Efficient,At Market,39.01,48.02,34.79,0.08,39.9,5.0,14.326647564469916,21.77944862155388,11.206382718975089,URGENT: Below Min Margin,1729,60342.1,68987.09999999999
MN-26,8 inch square -  pk of 50,Core,India,12.87,0.23,0.75,13.0,29.9,20.0,35.0,26.849999999999998,10.200668896321073,3.0500000000000007,CRITICAL,30.4,25.95,38.9,8,1142.0,1079,8,515,1596,Healthy,0.0,119,7.456140350877193,Normal Returns,1663.0,18.274725274725274,76.21448212648946,-7.4265975820379975,Fast Mover,Stable,8107.79,48132.26,16.844814683540726,5.936544977114602,Efficient,At Market,33.56,41.31,29.791999999999998,0.03,34.9,5.0,16.722408026755854,23.065902578796564,12.865233682475491,URGENT: Below Min Margin,515,15398.5,17973.5
MN-27,7 inch square -  pk of 50,Core,India,12.2,0.23,0.75,11.0,28.9,20.0,35.0,24.18,16.332179930795846,4.719999999999999,CRITICAL,29.9,24.99,37.9,8,838.0,772,5,542,1320,Healthy,0.0,50,3.787878787878788,Low Returns,1257.0,13.813186813186814,65.09580528223718,61.12676056338028,Average,Trending Up,4171.37,20260.19,20.588997437832518,4.856963060097762,Efficient,At Market,30.22,37.2,29.302,0.0,30.9,2.0,6.920415224913495,21.747572815533978,5.415392884738132,URGENT: Below Min Margin,542,15663.8,16747.8
MN-28,6 inch square -  pk of 50,Core,India,10.56,0.16,0.75,11.0,24.9,20.0,35.0,22.470000000000002,9.759036144578298,2.429999999999996,CRITICAL,26.2,21.95,33.9,7,1327.0,1043,6,767,2404,Healthy,0.0,137,5.698835274542429,Normal Returns,2480.0,27.252747252747252,59.35854475825754,1.7038007863695939,Fast Mover,Stable,14448.66,63225.99,22.852406107045535,4.375906831498561,Efficient,At Market,28.09,34.57,26.2,0.03,28.9,4.0,16.06425702811245,22.249134948096874,12.490098803518576,URGENT: Below Min Margin,767,19098.3,22166.3
MN-29,4 inch square -  pk of 50,Core,India,8.89,0.07,0.75,8.0,21.9,20.0,35.0,17.71,19.132420091324192,4.189999999999998,CRITICAL,22.8,18.95,29.9,7,924.0,815,6,545,1451,Healthy,0.0,237,16.33356305995865,High Returns,1519.0,16.692307692307693,36.60240963855422,7.930367504835589,Fast Mover,Stable,10098.84,43907.88,23.00006285887636,4.347814204403674,Efficient,At Market,22.14,27.25,22.8,0.0,23.9,2.0,9.132420091324201,25.89958158995815,6.767161498633957,URGENT: Below Min Margin,545,11935.5,13025.5
MN-30,10 inch Round- pk of 50,Core,India,18.1,0.38,0.75,16.0,34.9,20.0,35.0,35.230000000000004,-0.94555873925503,-0.3300000000000054,CRITICAL,36.4,30.99,45.9,9,404.0,254,5,245,612,Healthy,0.0,33,5.392156862745098,Normal Returns,688.0,7.56043956043956,24.972776769509984,32.22748815165877,Average,Trending Up,4762.27,18251.23,26.092871548931225,3.8324643499843556,Break-even,At Market,44.04,54.2,35.672,0.0,44.9,10.0,28.65329512893983,21.536748329621368,22.4823070688764,URGENT: Below Min Margin,245,8550.5,11000.5
MN-31,8 Round -  pk of 50,Core,India,12.56,0.24,0.75,13.0,28.9,20.0,35.0,26.55,8.13148788927335,2.349999999999998,CRITICAL,29.8,24.95,37.9,8,300.0,199,9,120,331,Healthy,-0.25,29,8.761329305135952,Normal Returns,355.0,3.901098901098901,30.445969125214408,-4.0,Average,Stable,1670.43,6203.92,26.925395556357916,3.713965865076657,Break-even,At Market,33.19,40.85,29.204,0.0,33.9,5.0,17.301038062283737,21.681415929203535,13.549928039930185,URGENT: Below Min Margin,120,3468.0,4068.0
MN-32,7 Round -  pk of 50,Core,India,11.96,0.2,0.75,11.0,26.9,20.0,35.0,23.91,11.115241635687727,2.9899999999999984,CRITICAL,27.5,22.99,34.9,8,338.0,230,7,176,505,Healthy,0.0,28,5.544554455445545,Normal Returns,533.0,5.857142857142857,47.0432480141218,-2.2988505747126435,Average,Stable,2911.52,17177.9,16.949219636858988,5.899976644501842,Efficient,At Market,29.89,36.78,26.95,0.0,30.9,4.0,14.869888475836431,22.621359223300967,11.50611758761324,URGENT: Below Min Margin,176,4734.4,5438.4
MN-33,6 Round -  pk of 50,Core,India,10.27,0.14,0.75,11.0,25.9,20.0,35.0,22.16,14.440154440154435,3.7399999999999984,CRITICAL,27.924999999999997,21.95,33.9,7,326.0,153,6,177,371,Healthy,0.0,28,7.547169811320755,Normal Returns,388.0,4.263736263736264,41.855447680690396,42.06349206349206,Average,Trending Up,3111.18,19121.04,16.270976892470284,6.14591248336644,Efficient,Below Market,27.7,34.09,27.924999999999997,0.0,28.9,3.0,11.583011583011583,23.321799307958475,8.88164486780404,URGENT: Below Min Margin,177,4584.3,5115.3
MN-34,9 Square - pk of 50,Core,India,13.41,0.28,0.75,14.0,32.9,20.0,35.0,28.44,13.556231003039507,4.459999999999997,CRITICAL,33.8,27.99,42.9,9,753.0,498,10,255,966,Healthy,-0.25,44,4.554865424430641,Low Returns,1001.0,11.0,62.17391304347826,-34.679334916864605,Average,Trending Down,2133.58,10984.63,19.423321495580645,5.148450022966094,Efficient,At Market,35.55,43.75,33.123999999999995,0.0,36.9,4.0,12.158054711246201,22.926829268292675,9.370598265253168,URGENT: Below Min Margin,255,8389.5,9409.5
MN-35,9 Round -  pk of 50,Core,India,13.41,0.33,0.75,14.0,31.9,20.0,35.0,28.49,10.689655172413794,3.41,CRITICAL,32.9,26.95,41.9,9,267.0,168,6,151,381,Healthy,0.0,28,7.349081364829396,Normal Returns,417.0,4.582417582417582,40.13474494706448,-5.454545454545454,Average,Stable,1901.14,9131.41,20.819785772405357,4.80312338912442,Efficient,At Market,35.61,43.83,32.242,0.0,36.9,5.0,15.673981191222571,22.791327913279133,12.10167274086534,URGENT: Below Min Margin,151,4816.9,5571.9
MN-36,17x12 - Oval Tray - pk of 10,Core,India,13.03,0.27,0.75,11.0,29.9,20.0,35.0,25.05,16.22073578595317,4.849999999999998,CRITICAL,30.1,24.99,37.9,8,1382.0,784,5,976,2191,Healthy,0.0,96,4.381560931081698,Low Returns,2255.0,24.78021978021978,26.86762778505898,51.681957186544345,Fast Mover,Trending Up,7892.54,27207.54,29.008649808104664,3.447247654113885,Break-even,At Market,31.31,38.54,29.498,0.03,31.9,2.0,6.688963210702341,21.473354231974916,5.252618446021746,URGENT: Below Min Margin,976,29182.399999999998,31134.399999999998
MN-37,11 Square - pk of 25,Core,India,11.96,0.21,0.75,13.0,28.9,20.0,35.0,25.92,10.311418685121097,2.979999999999997,CRITICAL,29.4,24.95,36.9,8,221.0,123,4,134,249,Healthy,0.25,24,9.63855421686747,Normal Returns,252.0,2.769230769230769,29.82248520710059,225.0,Average,Trending Up,1071.89,3445.4,31.11075637081326,3.2143223651680675,Break-even,At Market,32.4,39.88,28.811999999999998,0.0,32.9,4.0,13.84083044982699,21.21580547112461,10.904386786003514,URGENT: Below Min Margin,134,3872.6,4408.599999999999
MN-38,3.5 Round Bowl -  pk of 100,Core,India,11.41,0.13,0.75,14.0,29.9,20.0,35.0,26.29,12.073578595317723,3.6099999999999994,CRITICAL,31.2,25.99,39.9,7,991.0,861,8,429,1509,Healthy,0.0,67,4.44002650762094,Low Returns,1560.0,17.142857142857142,32.581453634085214,-6.336633663366337,Fast Mover,Stable,4601.9,18181.3,25.311171368384,3.9508246593798217,Break-even,At Market,32.86,40.45,31.2,0.03,33.9,4.0,13.377926421404682,22.448377581120944,10.37479898580322,URGENT: Below Min Margin,429,12827.099999999999,14543.099999999999
MN-39,2.5 Round Bowl -  pk of 100,Core,India,9.11,0.07,0.75,13.0,24.9,20.0,35.0,22.93,7.911646586345378,1.9699999999999989,CRITICAL,25.8,20.95,32.9,7,274.0,22,6,157,288,Healthy,0.0,10,3.4722222222222223,Low Returns,282.0,3.098901098901099,30.355220667384287,105.71428571428572,Average,Trending Up,719.94,2231.55,32.261880755528665,3.0996333027752314,Break-even,At Market,28.66,35.28,25.8,0.0,29.9,5.0,20.080321285140563,23.311036789297656,15.39939020295228,URGENT: Below Min Margin,157,3909.2999999999997,4694.3
MN-40,5 inch square -  pk of 50,Core,India,9.81,0.11,0.75,9.0,23.9,20.0,35.0,19.67,17.698744769874462,4.229999999999997,CRITICAL,24.9,19.95,31.9,7,655.0,407,6,337,893,Healthy,0.0,98,10.974244120940648,High Returns,883.0,9.703296703296703,49.971703452178836,22.900763358778626,Average,Trending Up,1500.84,12200.76,12.301200908795845,8.129287598944591,Highly Efficient,At Market,24.59,30.26,24.9,-0.05,25.9,2.0,8.368200836820085,24.054054054054046,6.355309284179583,URGENT: Below Min Margin,337,8054.299999999999,8728.3
MN-41,6 inch square -  pk of 200,Core,India,21.15,0.52,0.75,41.0,78.9,20.0,35.0,63.42,19.619771863117876,15.480000000000004,CRITICAL,82.5,69.95,99.9,6,935.0,694,6,535,1443,Healthy,0.0,57,3.9501039501039505,Low Returns,1613.0,17.725274725274726,78.83675464320625,-17.319277108433734,Fast Mover,Trending Down,5004.61,58209.0,8.59765671975124,11.631076147791736,Highly Efficient,At Market,79.27,97.57,82.5,0.009999999999999998,83.9,5.0,6.337135614702154,24.410011918951135,4.790240055833259,URGENT: Below Min Margin,535,42211.5,44886.5
MN-42,4 inch square -  pk of 200,Core,India,18.74,0.3,0.75,31.0,73.9,20.0,35.0,50.78999999999999,31.271989174560233,23.110000000000014,OPPORTUNITY,76.8,64.99,94.9,6,752.0,673,10,252,1224,Healthy,-0.25,83,6.781045751633987,Normal Returns,1267.0,13.923076923076923,64.41281138790036,-33.403361344537814,Average,Trending Down,3984.18,33095.41,12.038466965660795,8.306705520332917,Highly Efficient,At Market,63.49,78.14,76.8,-0.02,75.9,2.0,2.706359945872801,33.083003952569186,1.8110147780089534,Increase Price,252,18622.800000000003,19126.800000000003
MN-43,3.5 Square Bowl -  Pk of 25,Core,India,6.03,0.03,0.75,4.0,13.9,20.0,35.0,10.81,22.230215827338128,3.09,OPPORTUNITY,14.8,11.99,19.9,6,166.0,123,4,100,217,Healthy,0.25,16,7.373271889400922,Normal Returns,207.0,2.2747252747252746,14.743589743589745,87.27272727272727,Slow Mover,Trending Up,1608.75,2661.62,60.44251245482075,1.6544646464646464,Inefficient,Below Market,13.51,16.63,14.8,-0.020000000000000004,14.9,1.0,7.194244604316546,27.449664429530202,5.219448602192074,Increase Price,100,1390.0,1490.0
MN-44,2.5 Square Bowl - Pk of 25,Core,India,5.88,0.03,0.75,3.0,11.9,20.0,35.0,9.659999999999998,18.82352941176472,2.240000000000002,CRITICAL,13.945,9.99,17.9,6,130.0,96,7,57,133,Healthy,0.0,17,12.781954887218044,High Returns,135.0,1.4835164835164836,14.225500526870391,61.76470588235294,Slow Mover,Trending Up,339.55,1305.42,26.01078580073846,3.8445589751141216,Break-even,Below Market,12.07,14.86,13.945,-0.08,13.9,2.0,16.806722689075627,30.503597122302175,11.680067710537454,URGENT: Below Min Margin,57,678.3000000000001,792.3000000000001
MN-45,3.5 Square Bowl -  Pk of 100,Core,India,10.85,0.08,0.75,14.0,29.9,20.0,35.0,25.68,14.113712374581935,4.219999999999999,CRITICAL,31.4,25.95,39.9,7,159.0,82,8,71,328,Healthy,0.0,15,4.573170731707317,Low Returns,357.0,3.923076923076923,42.90865384615385,-52.702702702702695,Average,Trending Down,603.67,7757.08,7.782180923749658,12.849868305531169,Highly Efficient,At Market,32.1,39.51,31.4,-0.02,32.9,3.0,10.033444816053512,21.94528875379939,7.831576379217454,URGENT: Below Min Margin,71,2122.9,2335.9
